簡體字,正體字,非對稱簡繁字
卜,"['卜', '蔔']",True
叉,['叉'],False
一,['一'],False
又,['又'],False
口,['口'],False
乙,['乙'],False
土,['土'],False
三,['三'],False
士,['士'],False
丁,['丁'],False
下,['下'],False
夕,['夕'],False
七,['七'],False
丈,['丈'],False
大,['大'],False
乃,"['乃', '迺']",True
上,['上'],False
女,['女'],False
九,['九'],False
丫,['丫'],False
子,['子'],False
了,"['了', '瞭']",True
丸,['丸'],False
孑,['孑'],False
二,['二'],False
凡,['凡'],False
孓,['孓'],False
人,['人'],False
久,['久'],False
寸,['寸'],False
入,['入'],False
么,"['么', '麼']",True
小,['小'],False
八,['八'],False
也,['也'],False
尸,"['尸', '屍']",True
几,"['几', '幾']",True
乞,['乞'],False
山,['山'],False
刀,['刀'],False
于,['于'],False
川,['川'],False
刁,['刁'],False
亡,['亡'],False
工,['工'],False
力,['力'],False
兀,['兀'],False
己,['己'],False
匕,['匕'],False
刃,['刃'],False
已,['已'],False
十,['十'],False
千,"['千', '韆']",True
巳,['巳'],False
巾,['巾'],False
仃,['仃'],False
勾,['勾'],False
干,"['干', '乾', '幹']",True
仆,"['仆', '僕']",True
勿,['勿'],False
弓,['弓'],False
仇,['仇'],False
化,['化'],False
才,['才'],False
仍,['仍'],False
匹,['匹'],False
今,['今'],False
午,['午'],False
丑,"['丑', '醜']",True
介,['介'],False
升,['升'],False
丐,['丐'],False
仄,['仄'],False
卅,['卅'],False
不,['不'],False
元,['元'],False
卞,['卞'],False
中,['中'],False
允,['允'],False
厄,['厄'],False
丹,['丹'],False
内,['內'],False
友,['友'],False
之,['之'],False
六,['六'],False
及,['及'],False
尹,['尹'],False
兮,['兮'],False
反,['反'],False
予,['予'],False
公,['公'],False
壬,['壬'],False
云,"['云', '雲']",True
冗,['冗'],False
天,['天'],False
井,['井'],False
凶,"['凶', '兇']",True
夫,"['夫', '伕']",True
互,['互'],False
分,['分'],False
太,['太'],False
五,['五'],False
切,['切'],False
夭,['夭'],False
仁,['仁'],False
刈,['刈'],False
孔,['孔'],False
什,['什'],False
匀,['勻'],False
少,['少'],False
尤,['尤'],False
曰,['曰'],False
王,['王'],False
尺,['尺'],False
月,['月'],False
屯,['屯'],False
木,['木'],False
丙,['丙'],False
巴,['巴'],False
欠,['欠'],False
世,['世'],False
幻,['幻'],False
止,['止'],False
丕,['丕'],False
廿,['廿'],False
歹,['歹'],False
且,['且'],False
吊,"['弔', '吊']",True
毋,['毋'],False
丘,['丘'],False
引,['引'],False
比,['比'],False
主,['主'],False
心,['心'],False
毛,['毛'],False
乍,['乍'],False
戈,['戈'],False
氏,['氏'],False
乏,['乏'],False
户,['戶'],False
水,['水'],False
乎,['乎'],False
手,['手'],False
火,['火'],False
以,['以'],False
扎,"['扎', '紮']",True
爪,['爪'],False
付,['付'],False
支,['支'],False
父,['父'],False
仔,['仔'],False
文,['文'],False
爻,['爻'],False
仕,['仕'],False
斗,"['斗', '鬥']",True
片,['片'],False
他,['他'],False
斤,['斤'],False
牙,['牙'],False
仗,['仗'],False
方,['方'],False
牛,['牛'],False
代,['代'],False
日,['日'],False
犬,['犬'],False
令,['令'],False
仙,['仙'],False
卉,['卉'],False
史,['史'],False
仞,['仞'],False
卡,['卡'],False
