google_and_truth_bleu_score,google_and_truth_gleu_score
1.0,1.0
1.0,1.0
0.9551190479308641,0.9739130434782609
0.960771264519871,0.9768339768339769
1.0,1.0
1.0,1.0
1.0,1.0
0.9770064524882032,0.9864253393665159
1.0,1.0
1.0,1.0
0.9686391926502761,0.9815950920245399
0.9646458712936792,0.9793103448275862
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9588185089507728,0.976
1.0,1.0
0.9551190479308641,0.9739130434782609
0.9682406246501182,0.9813664596273292
1.0,1.0
0.9651391201669045,0.9795918367346939
1.0,1.0
1.0,1.0
0.9506885335787997,0.9714285714285714
1.0,1.0
0.9525618205602057,0.9724770642201835
1.0,1.0
1.0,1.0
1.0,1.0
0.9370520341487665,0.9631901840490797
0.971500344915838,0.9832402234636871
1.0,1.0
1.0,1.0
0.9061874434879645,0.9473684210526315
1.0,1.0
0.8985396083419646,0.9433962264150944
0.9646458712936792,0.9793103448275862
1.0,1.0
0.9097447296143479,0.9478260869565217
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.8626032740444168,0.9205298013245033
0.9525618205602057,0.9724770642201835
0.9746768017625027,0.9850746268656716
0.9601328622880726,0.9767441860465116
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.948661035297062,0.9702970297029703
1.0,1.0
0.940028651976138,0.9655172413793104
0.9574144657807024,0.9752066115702479
1.0,1.0
0.954297861697201,0.9734513274336283
0.9853975403131594,0.9856115107913669
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9625248317849852,0.9781021897810219
1.0,1.0
1.0,1.0
0.948817232064567,0.9577464788732394
0.9223765517412051,0.9548872180451128
1.0,1.0
0.976575464491294,0.9861751152073732
0.9758978044863993,0.985781990521327
0.971500344915838,0.9832402234636871
1.0,1.0
1.0,1.0
0.9299238452109287,0.96
1.0,1.0
0.956665370254855,0.9719626168224299
1.0,1.0
0.9751797570884221,0.9853658536585366
0.9801160289133815,0.9882352941176471
1.0,1.0
1.0,1.0
1.0,1.0
0.9770064524882032,0.9864253393665159
1.0,1.0
1.0,1.0
1.0,1.0
0.9785826525822038,0.9873417721518988
0.9863913868009467,0.9865771812080537
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.974153035222828,0.9847715736040609
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9669816961515574,0.9806451612903225
1.0,1.0
1.0,1.0
0.9754238144469,0.9855072463768116
1.0,1.0
1.0,1.0
0.9594863506034305,0.9763779527559056
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9678317907712601,0.9811320754716981
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9476125937240817,0.9692307692307692
1.0,1.0
0.9721358527750605,0.9836065573770492
1.0,1.0
1.0,1.0
0.8847064105457827,0.9340659340659341
0.9709835434146469,0.971830985915493
0.9221220693827681,0.9508196721311475
0.9551190479308641,0.9739130434782609
0.9559112197162899,0.9743589743589743
0.9414356817218077,0.9662921348314607
0.9486884814499564,0.9698492462311558
0.8929640500615639,0.9279279279279279
0.784757484773875,0.8823529411764706
